"","cycle","branch","model","modeldate","candidate_inc","candidate_chal","candidate_3rd","state","tipping","vpi","winstate_inc","winstate_chal","winstate_3rd","voteshare_inc","voteshare_chal","voteshare_3rd","voteshare_other","voteshare_inc_hi","voteshare_chal_hi","voteshare_3rd_hi","voteshare_other_hi","voteshare_inc_lo","voteshare_chal_lo","voteshare_3rd_lo","voteshare_other_lo","margin","margin_hi","margin_lo","win_EC_if_win_state_inc","win_EC_if_win_state_chal","win_state_if_win_EC_inc","win_state_if_win_EC_chal","state_turnout","state_turnout_hi","state_turnout_lo","timestamp","simulations","trump_vote","biden_vote","FTE_margin"
"35",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Kansas",0,0,0.985525,0.014475,NA,55.71799,42.49542,NA,1.786586,59.31412,46.08864,NA,2.64705,52.11169,38.90716,NA,1.02489,13.22257,20.34978,6.080341,0.1054007,0.9982729,0.9997594,0.0162068,1318264,1498417,1143241,"11/3/20 0:00",40000,734510.2036936,560201.8235088,13.4631004055352
"36",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Iowa",0.00655,0.6125844,0.6013,0.3987,NA,49.96206,48.49138,NA,1.546558,53.77196,52.33279,NA,2.283462,46.12854,44.67287,NA,0.8920602,1.470683,9.067389,-6.163172,0.1712124,0.9975545,0.9908566,0.4460801,1700753,1922529,1483939,"11/3/20 0:00",40000,849731.2343118,824718.6000914,1.49378223858913
"37",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Indiana",0.0002125,0.010515,0.96445,0.03555,NA,54.7612,43.98542,NA,1.253378,58.42366,47.65271,NA,1.841441,51.09765,40.32183,NA,0.728547,10.77577,18.07365,3.455923,0.1077298,1,1,0.0398721,3092778,3504555,2687116,"11/3/20 0:00",40000,1693642.346136,1360371.3929676,10.9125557917831
"38",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Illinois",0.0007375,0.0189419,7e-04,0.9993,NA,40.38817,58.27946,NA,1.332369,43.39642,61.27242,NA,1.960361,37.39405,55.27476,NA,0.7727977,-17.89128,-11.9164,-23.81308,0.9285714,0.8921745,0.006256,0.9999439,6185579,6996308,5385176,"11/3/20 0:00",40000,2498242.1620043,3604922.0390734,-18.1328871485005
"39",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Idaho",0,0,0.994375,0.005625,NA,59.47557,37.50751,NA,3.016928,64.16412,42.18948,NA,4.527451,54.73436,32.87292,NA,1.694281,21.96806,31.14692,12.7069,0.1044626,0.9955556,0.9997594,0.0062808,815884,937103,698810,"11/3/20 0:00",40000,485251.6595388,306017.7728884,22.6514356937313
"40",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Hawaii",0.00045,0.1224054,0.006275,0.993725,NA,30.90714,67.53033,NA,1.562535,38.36582,74.81461,NA,2.307613,23.62676,60.04887,NA,0.9009181,-36.62318,-21.73151,-51.18551,0.1912351,0.8921483,0.0115496,0.994336,605161,692457,520090,"11/3/20 0:00",40000,187037.9574954,408667.2203313,-37.2045218147114
"41",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Georgia",0.0415875,1.351277,0.418475,0.581525,NA,49.15166,50.1039,NA,0.7444401,52.28163,53.21604,NA,1.081036,46.03981,46.97843,NA,0.4406578,-0.9522377,5.273033,-7.158911,0.2357966,0.9900692,0.9497113,0.6457492,4893254,5526447,4275157,"11/3/20 0:00",40000,2405115.5690164,2451711.090906,-0.95938202353602
"42",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Florida",0.1430625,2.032911,0.309,0.691,NA,48.41641,50.88105,NA,0.7025369,51.74086,54.19498,NA,1.018876,45.08556,47.55532,NA,0.4166346,-2.464648,4.184742,-9.10919,0.3259709,0.9952967,0.9694418,0.7713661,11215824,12640068,9801608,"11/3/20 0:00",40000,5430299.3327184,5706729.017352,-2.48207758788594
"43",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"District of Columbia",0,0,0,1,NA,5.411063,91.27472,NA,3.314215,7.353699,93.66711,NA,4.985447,3.558689,88.74265,NA,1.853641,-85.86366,-81.69064,-89.87743,NA,0.8916,0,1,338473,425782,253601,"11/3/20 0:00",40000,18314.98726799,308940.2830256,-88.8069107326772
"44",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Delaware",2.5e-05,0.0070506,5e-05,0.99995,NA,36.64574,62.27551,NA,1.078752,39.89986,65.50932,NA,1.579522,33.41905,59.00025,NA,0.6304538,-25.62977,-19.12063,-32.07704,0,0.8915946,0,0.9999439,499383,566354,433076,"11/3/20 0:00",40000,183002.5957842,310993.3101033,-25.9092662092321
"45",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Connecticut",0.00025,0.0218722,8e-04,0.9992,NA,37.54163,61.57642,NA,0.8819502,41.38024,65.41267,NA,1.285523,33.7154,57.72961,NA,0.5190814,-24.03479,-16.36052,-31.67088,0.59375,0.8919886,0.0045717,0.9996355,1793649,2024634,1565574,"11/3/20 0:00",40000,673365.0710787,1104464.8415658,-24.2486509772942
"46",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Colorado",0.0147125,0.6835458,0.03165,0.96835,NA,42.82203,54.53553,NA,2.64244,46.69356,58.43951,NA,3.952477,38.95116,50.61322,NA,1.492425,-11.71351,-4.040487,-19.40483,0.5552922,0.9063355,0.169153,0.984354,3428925,3866404,2999561,"11/3/20 0:00",40000,1468335.2921775,1869982.4220525,-12.031423137556
"47",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"California",0.002175,0.0219626,0.001425,0.998575,NA,34.11211,64.0617,NA,1.826195,38.87563,68.78064,NA,2.707198,29.40579,59.31218,NA,1.04673,-29.94959,-20.46035,-39.33101,0.2280702,0.8917708,0.003128,0.9987662,15781379,17937540,13659682,"11/3/20 0:00",40000,5383361.3639969,10109819.670843,-30.5067003103985
"48",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Arkansas",5e-05,0.0066388,0.9898,0.0102,NA,60.45607,37.77481,NA,1.769124,65.67917,43.00497,NA,2.620517,55.20789,32.57218,NA,1.015248,22.68125,33.05328,12.23898,0.1048697,0.990196,0.9990376,0.0113279,1236661,1413248,1064058,"11/3/20 0:00",40000,747636.6398227,467146.3430941,23.0897453020883
"49",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Arizona",0.0640125,3.272057,0.319775,0.680225,NA,48.08638,50.67472,NA,1.2389,51.75806,54.34381,NA,1.819665,44.42338,47.00318,NA,0.7204267,-2.588351,4.740196,-9.889132,0.2830115,0.9762579,0.8710299,0.7448127,3108663,3511633,2716673,"11/3/20 0:00",40000,1494843.5030994,1575306.2709936,-2.62080920524376
"50",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Alaska",0.001775,0.8227691,0.8505,0.1495,NA,52.94961,44.49561,NA,2.554776,58.26559,49.84647,NA,3.817958,47.58707,39.16547,NA,1.444931,8.454002,19.05526,-2.169584,0.1184597,0.9787626,0.9696824,0.1641151,346016,392542,300773,"11/3/20 0:00",40000,183214.1225376,153961.9298976,8.6756436077624
"51",2020,"President","polls-plus","11/3/20","Trump","Biden",NA,"Alabama",0.00025,0.016875,0.98355,0.01645,NA,59.61611,39.61551,NA,0.7683759,64.73994,44.81895,NA,1.11658,54.41928,34.4786,NA,0.4543543,20.0006,30.25863,9.604773,0.1054598,0.987842,0.9983157,0.0182257,2337021,2662350,2024075,"11/3/20 0:00",40000,1393241.0100831,925822.7879571,20.155470605035
